recorded,ds1,mf1,rf1,ds2,mf2,rf2,ds3,mf3,rf3,num_neg,num_pos
2021-02-21 19:59,31.25617284,11.76234568,11.39197531,31.08641975,11.84567901,11.62654321,18.05246914,7.030864198,6.719135803,4,3
2021-02-21 20:29,27.1095679,10.47608025,9.970679014,27.49074074,10.82253086,10.52932099,16.02006173,6.433641975,6.049382716,5,7
2021-02-21 20:59,27.49382716,10.64699074,10.17901235,27.76118827,10.91280864,10.56905864,15.37345679,6.064429012,5.768132716,8,5
2021-02-21 21:29,30.97685185,12.13811728,11.58333333,30.84567901,12.24305556,11.78009259,15.21450617,6.12654321,5.810185185,12,9
2021-02-21 21:59,21.21781305,8.294532628,7.842592593,24.76499119,9.839506173,9.403439154,12.26984127,4.996472663,4.743386243,12,18
2021-02-21 22:29,18.56635802,7.463734568,7.008487654,18.80246914,7.665895061,7.441358025,9.558641975,3.979166667,3.798611111,10,15
2021-02-21 22:59,13.06569665,5.472222222,5.05335097,14.91181658,6.316578484,6.035273369,6.268959436,2.705026455,2.513227513,8,17
2021-02-21 23:29,12.08950617,5.305555556,4.811728395,12.86111111,5.663580247,5.308641976,4.385802469,2.037037037,1.901234568,15,21
2021-02-22 00:29,10.0320216,3.962577161,3.455632716,9.919367283,3.923611111,3.590277778,3.149305556,1.301697531,1.151234568,10,29
2021-02-22 00:59,10.10011574,3.148533951,2.71566358,9.921296296,3.236304012,2.92959105,2.061728395,0.75154321,0.62654321,3,17
2021-02-22 01:29,10.23963845,3.282407407,2.814153439,11.08840388,3.404320988,2.997574956,2.300705467,0.753747796,0.599426808,9,13
2021-02-22 01:59,6.777777778,2.336419753,1.87962963,7.12191358,2.458333334,2.125,1.546296296,0.550925926,0.435185185,4,15
2021-02-22 02:29,4.826851852,1.133796296,1.021296296,8.025,1.675925926,1.574074074,1.875925926,0.409259259,0.362962963,9,16
2021-02-22 02:59,3.82962963,0.944444444,0.807407407,5.774074074,1.344444445,1.240740741,1.448148148,0.381481481,0.314814815,2,17
